,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
SPY,1.0,0.8725119899451269,0.7406479452847594,0.7827139267652594,0.920590386424768,0.887628963482784,0.6734590736634659,0.2691091822571833,0.7873275395700817,0.9187729499625557
XLB,0.8725119899451269,1.0,0.7650075165702749,0.6870185433057292,0.8723322031151869,0.7393959941441808,0.4597420730216052,0.10753736075649889,0.6323775648083818,0.7913099193717129
XLE,0.7406479452847594,0.7650075165702749,1.0,0.6332239026127395,0.7196857677367987,0.5480883871794863,0.35753075414977525,0.1084882497699979,0.43346720130447125,0.6436594673260781
XLF,0.7827139267652594,0.6870185433057292,0.6332239026127395,1.0,0.7657592814646139,0.635264481878774,0.36753862522674846,0.05632677671898227,0.577520331907121,0.6850351922145032
XLI,0.920590386424768,0.8723322031151869,0.7196857677367987,0.7657592814646139,1.0,0.7476610894782786,0.5701937963896374,0.16676237345802875,0.6797012852805905,0.8409124488440335
XLK,0.887628963482784,0.7393959941441808,0.5480883871794863,0.635264481878774,0.7476610894782786,1.0,0.5421708914038924,0.21375047261849434,0.6126859510004746,0.8123878968282352
XLP,0.6734590736634659,0.4597420730216052,0.35753075414977525,0.36753862522674846,0.5701937963896374,0.5421708914038924,1.0,0.5682251979824136,0.6468752185275669,0.6225720904778982
XLU,0.2691091822571833,0.10753736075649889,0.1084882497699979,0.05632677671898227,0.16676237345802875,0.21375047261849434,0.5682251979824136,1.0,0.27621299418144607,0.16375526440379382
XLV,0.7873275395700817,0.6323775648083818,0.43346720130447125,0.577520331907121,0.6797012852805905,0.6126859510004746,0.6468752185275669,0.27621299418144607,1.0,0.7005380329467732
XLY,0.9187729499625557,0.7913099193717129,0.6436594673260781,0.6850351922145032,0.8409124488440335,0.8123878968282352,0.6225720904778982,0.16375526440379382,0.7005380329467732,1.0
