,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
SPY,8.515577296690413e-05,0.00010024919186457495,0.00010131873602182054,0.00010549553320127452,9.399391167881922e-05,8.645690459297161e-05,5.391884362222444e-05,4.621396507300513e-05,7.351918736150313e-05,8.644513855004949e-05
XLB,0.00010024919186457495,0.0001498039366278734,0.00013598757768976222,0.0001246667865959736,0.00011684174968338217,9.706384063453318e-05,5.8470359348865186e-05,5.010786993643151e-05,8.080374534334168e-05,9.991503482174245e-05
XLE,0.00010131873602182054,0.00013598757768976222,0.000187300726261829,0.00012253110473539383,0.00011302249856046017,9.315526865754417e-05,5.631236229415849e-05,5.246232831743169e-05,7.801084172826431e-05,9.574507149852463e-05
XLF,0.00010549553320127452,0.0001246667865959736,0.00012253110473539383,0.0001929465482392616,0.00011851823368495785,9.871180898439717e-05,6.0027204820988715e-05,5.0057535874117445e-05,8.550939767505444e-05,0.00010461735638484619
XLI,9.399391167881922e-05,0.00011684174968338217,0.00011302249856046017,0.00011851823368495785,0.0001179273421531485,9.169212822307013e-05,5.7082992886268855e-05,4.837439872997671e-05,7.747714059067155e-05,9.560722348506319e-05
XLK,8.645690459297161e-05,9.706384063453318e-05,9.315526865754417e-05,9.871180898439717e-05,9.169212822307013e-05,0.00010375641368426351,5.156440163350115e-05,4.214175368446937e-05,7.134688610788633e-05,8.804612728995717e-05
XLP,5.391884362222444e-05,5.8470359348865186e-05,5.631236229415849e-05,6.0027204820988715e-05,5.7082992886268855e-05,5.156440163350115e-05,5.4420349276161186e-05,4.248922055251643e-05,4.896638024808217e-05,5.4292715605575096e-05
XLU,4.621396507300513e-05,5.010786993643151e-05,5.246232831743169e-05,5.0057535874117445e-05,4.837439872997671e-05,4.214175368446937e-05,4.248922055251643e-05,7.791479719490366e-05,3.9763413242920574e-05,4.363824813727297e-05
XLV,7.351918736150313e-05,8.080374534334168e-05,7.801084172826431e-05,8.550939767505444e-05,7.747714059067155e-05,7.134688610788633e-05,4.896638024808217e-05,3.9763413242920574e-05,8.634358405239683e-05,7.24793336565376e-05
XLY,8.644513855004949e-05,9.991503482174245e-05,9.574507149852463e-05,0.00010461735638484619,9.560722348506319e-05,8.804612728995717e-05,5.4292715605575096e-05,4.363824813727297e-05,7.24793336565376e-05,0.00010245768213495087
