,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
SPY,1.0,0.8846392545775281,0.8010755697108717,0.8221592882007569,0.9363596907719622,0.9176733856750576,0.7808452300036983,0.5517600816922098,0.8595703828781903,0.9246795178598906
XLB,0.8846392545775281,1.0,0.8074607077178341,0.7328884240974397,0.8784135972809489,0.7707861918804584,0.6392660414456139,0.44968739510772443,0.7097897560756521,0.8024342350723421
XLE,0.8010755697108717,0.8074607077178341,1.0,0.6446066635860319,0.76016911933762,0.6647798926553194,0.5487030802795331,0.4217553926490636,0.6166270746393614,0.6880418197337105
XLF,0.8221592882007569,0.7328884240974397,0.6446066635860319,1.0,0.784703075046133,0.6913808533401122,0.5826681540575747,0.4007131169146989,0.6631838519684894,0.7402104986917204
XLI,0.9363596907719622,0.8784135972809489,0.76016911933762,0.784703075046133,1.0,0.8232323781395614,0.703030762873047,0.4916176883956841,0.7683477066792661,0.866399009762282
XLK,0.9176733856750576,0.7707861918804584,0.6647798926553194,0.6913808533401122,0.8232323781395614,1.0,0.6630319246336651,0.44291639886813544,0.7549349350501223,0.8529185069301478
XLP,0.7808452300036983,0.6392660414456139,0.5487030802795331,0.5826681540575747,0.703030762873047,0.6630319246336651,1.0,0.6516263213830278,0.7055342806468422,0.7133782487214448
XLU,0.5517600816922098,0.44968739510772443,0.4217553926490636,0.4007131169146989,0.4916176883956841,0.44291639886813544,0.6516263213830278,1.0,0.47365459627661916,0.47026174241228097
XLV,0.8595703828781903,0.7097897560756521,0.6166270746393614,0.6631838519684894,0.7683477066792661,0.7549349350501223,0.7055342806468422,0.47365459627661916,1.0,0.7718537159181454
XLY,0.9246795178598906,0.8024342350723421,0.6880418197337105,0.7402104986917204,0.866399009762282,0.8529185069301478,0.7133782487214448,0.47026174241228097,0.7718537159181454,1.0
