,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
SPY,8.600323536695845e-05,0.0001004475274893893,0.00010169301004196997,0.00010566225474815568,9.456743398842022e-05,8.853991658464099e-05,5.370351764260786e-05,4.5315246716715365e-05,7.446691881912864e-05,8.756748133102244e-05
XLB,0.0001004475274893893,0.0001499102400298725,0.00013533099290795878,0.0001243540756460635,0.00011712677899554236,9.818454978427458e-05,5.804671696189728e-05,4.8759926350601e-05,8.118390246124871e-05,0.00010032734622931146
XLE,0.00010169301004196997,0.00013533099290795878,0.00018737879454703622,0.00012228171548780932,0.00011332140337911926,9.46742062568097e-05,5.570292433370161e-05,5.1127851307696815e-05,7.885102747654985e-05,9.61765694532971e-05
XLF,0.00010566225474815568,0.0001243540756460635,0.00012228171548780932,0.00019204943044067103,0.00011842771967331305,9.968215937849765e-05,5.988363727290492e-05,4.917866638528489e-05,8.58548831550775e-05,0.00010475046950992139
XLI,9.456743398842022e-05,0.00011712677899554236,0.00011332140337911926,0.00011842771967331305,0.000118599539163765,9.327333841344176e-05,5.67801070457628e-05,4.741389985173092e-05,7.816707246188061e-05,9.635043370588567e-05
XLK,8.853991658464099e-05,9.818454978427458e-05,9.46742062568097e-05,9.968215937849765e-05,9.327333841344176e-05,0.00010823984324700792,5.115739180245086e-05,4.0808629930267114e-05,7.337154212821579e-05,9.061400817762639e-05
XLP,5.370351764260786e-05,5.804671696189728e-05,5.570292433370161e-05,5.988363727290492e-05,5.67801070457628e-05,5.115739180245086e-05,5.4999754914611644e-05,4.279723117078071e-05,4.8879082373247326e-05,5.402496153570402e-05
XLU,4.5315246716715365e-05,4.8759926350601e-05,5.1127851307696815e-05,4.917866638528489e-05,4.741389985173092e-05,4.0808629930267114e-05,4.279723117078071e-05,7.842839974905051e-05,3.91852822835834e-05,4.252756837010067e-05
XLV,7.446691881912864e-05,8.118390246124871e-05,7.885102747654985e-05,8.58548831550775e-05,7.816707246188061e-05,7.337154212821579e-05,4.8879082373247326e-05,3.91852822835834e-05,8.726680855710379e-05,7.362982563740748e-05
XLY,8.756748133102244e-05,0.00010032734622931146,9.61765694532971e-05,0.00010475046950992139,9.635043370588567e-05,9.061400817762639e-05,5.402496153570402e-05,4.252756837010067e-05,7.362982563740748e-05,0.000104276981647579
