,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
SPY,1.0,0.8756513425635788,0.7513293767215753,0.7820562293850635,0.9236698454408413,0.8919641785178904,0.6480209876970097,0.2557260944073137,0.7956176972982769,0.9223188324820465
XLB,0.8756513425635788,1.0,0.7682940829196159,0.6916585579220316,0.8737592766244211,0.7454623201701219,0.44404565402471646,0.10079645437809573,0.6451565807466191,0.7981331902731149
XLE,0.7513293767215753,0.7682940829196159,1.0,0.6341692344161545,0.7327285242946546,0.5670668414579497,0.34166083108527157,0.09836158692315387,0.458919559408605,0.6607669412886263
XLF,0.7820562293850635,0.6916585579220316,0.6341692344161545,1.0,0.758503664606926,0.6395208403030689,0.36044090844305926,0.055027374413061596,0.5789905726550858,0.6844506855579262
XLI,0.9236698454408413,0.8737592766244211,0.7327285242946546,0.758503664606926,1.0,0.7588179127902968,0.5375463610333353,0.14971860152724484,0.7002179783803275,0.8528809533408491
XLK,0.8919641785178904,0.7454623201701219,0.5670668414579497,0.6395208403030689,0.7588179127902968,1.0,0.5197418407612119,0.20351822443052067,0.6253686069029508,0.8209344945896486
XLP,0.6480209876970097,0.44404565402471646,0.34166083108527157,0.36044090844305926,0.5375463610333353,0.5197418407612119,1.0,0.5678108634962507,0.6215285214277836,0.5876087707582723
XLU,0.2557260944073137,0.10079645437809573,0.09836158692315387,0.055027374413061596,0.14971860152724484,0.20351822443052067,0.5678108634962507,1.0,0.25897030468324145,0.14939926560974548
XLV,0.7956176972982769,0.6451565807466191,0.458919559408605,0.5789905726550858,0.7002179783803275,0.6253686069029508,0.6215285214277836,0.25897030468324145,1.0,0.7157397482669092
XLY,0.9223188324820465,0.7981331902731149,0.6607669412886263,0.6844506855579262,0.8528809533408491,0.8209344945896486,0.5876087707582723,0.14939926560974548,0.7157397482669092,1.0
