,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
SPY,0.0011974080201850351,0.0015653147637579065,0.001489507692947597,0.0013988462172338089,0.0013958753751682927,0.0012616445584561153,0.0006689774780189022,0.00030618555465098627,0.0009527901166387124,0.0013065776807065714
XLB,0.0015653147637579065,0.00266869390920336,0.0022738832887337383,0.0018469368600929248,0.001971287557480783,0.0015741408999512085,0.0006843501234341788,0.00018017030266100282,0.0011534167159489258,0.0016879432099218348
XLE,0.001489507692947597,0.0022738832887337383,0.003282332693841536,0.0018780509934164687,0.0018333407707363505,0.0013279877737208483,0.0005839663684025816,0.00019498688280755754,0.0009099124233795794,0.001549789390373684
XLF,0.0013988462172338089,0.0018469368600929248,0.0018780509934164687,0.0026719099879739666,0.0017122902900609366,0.0013512451166973602,0.0005558355644671272,9.841884709328014e-05,0.0010357480672247702,0.0014483921152696883
XLI,0.0013958753751682927,0.001971287557480783,0.0018333407707363505,0.0017122902900609366,0.0019072938029235775,0.00135461193406607,0.0007003676356216854,0.00022624194771884293,0.0010583121534462993,0.0015248611230476022
XLK,0.0012616445584561153,0.0015741408999512085,0.0013279877737208483,0.0013512451166973602,0.00135461193406607,0.0016708484047948163,0.0006338077542846103,0.00028784613305945887,0.0008846598710524872,0.001373757593850702
XLP,0.0006689774780189022,0.0006843501234341788,0.0005839663684025816,0.0005558355644671272,0.0007003676356216854,0.0006338077542846103,0.0008900259875846558,0.0005861295423111448,0.000641703095198743,0.0007176665273004412
XLU,0.00030618555465098627,0.00018017030266100282,0.00019498688280755754,9.841884709328014e-05,0.00022624194771884293,0.00028784613305945887,0.0005861295423111448,0.0011972287588151254,0.0003101060687436286,0.00021162652970173335
XLV,0.0009527901166387124,0.0011534167159489258,0.0009099124233795794,0.0010357480672247702,0.0010583121534462993,0.0008846598710524872,0.000641703095198743,0.0003101060687436286,0.0011976873286310686,0.0010140513347669184
XLY,0.0013065776807065714,0.0016879432099218348,0.001549789390373684,0.0014483921152696883,0.0015248611230476022,0.001373757593850702,0.0007176665273004412,0.00021162652970173335,0.0010140513347669184,0.0016759696695325356
